Class,Xstreams,Threads,Time(s),Time(nanos),Status
A,1,4,41.34000000000000000000,10604759385.36333333333333333333,SUCCESSFUL
A,1,7,49.91000000000000000000,7412690119.33333333333333333333,SUCCESSFUL
A,1,8,59.35000000000000000000,7826842870.99000000000000000000,SUCCESSFUL
A,1,14,81.52666666666666666666,6281384634.32000000000000000000,SUCCESSFUL
A,1,28,192.68666666666666666666,8429699950.67666666666666666666,SUCCESSFUL
A,2,1,32.66666666666666666666,16618314565.66000000000000000000,SUCCESSFUL
A,2,2,36.59666666666666666666,9556537964.67333333333333333333,SUCCESSFUL
A,2,4,51.02000000000000000000,7170634056.34333333333333333333,SUCCESSFUL
A,2,7,71.29000000000000000000,5619204609.98333333333333333333,SUCCESSFUL
A,2,8,80.82000000000000000000,5666071263.00333333333333333333,SUCCESSFUL
A,2,14,100.67666666666666666666,4571559428.99333333333333333333,SUCCESSFUL
A,2,28,86.75666666666666666666,7635945237.34000000000000000000,SUCCESSFUL
A,4,1,33.97333333333333333333,8843479681.33333333333333333333,SUCCESSFUL
A,4,2,42.79666666666666666666,6232387304.32666666666666666666,SUCCESSFUL
A,4,4,69.97333333333333333333,5219342011.67000000000000000000,SUCCESSFUL
A,4,7,89.01000000000000000000,4133373831.69000000000000000000,SUCCESSFUL
A,4,8,77.70000000000000000000,4554560563.00333333333333333333,SUCCESSFUL
A,4,14,83.93333333333333333333,6098232807.65000000000000000000,SUCCESSFUL
A,4,28,95.31000000000000000000,10139499662.67666666666666666666,SUCCESSFUL
A,7,1,36.06000000000000000000,7528512714.02000000000000000000,SUCCESSFUL
A,7,2,55.52333333333333333333,5657995378.67666666666666666666,SUCCESSFUL
A,7,4,85.84333333333333333333,4206360521.00666666666666666666,SUCCESSFUL
A,7,7,80.35666666666666666666,4773385955.66000000000000000000,SUCCESSFUL
A,7,8,80.62666666666666666666,5041905962.68666666666666666666,SUCCESSFUL
A,7,14,89.44000000000000000000,7369358075.66666666666666666666,SUCCESSFUL
A,7,28,107.08666666666666666666,13386031224.66333333333333333333,SUCCESSFUL
A,8,1,37.85333333333333333333,7758489002.66666666666666666666,SUCCESSFUL
A,8,2,60.48333333333333333333,5282611870.67333333333333333333,SUCCESSFUL
A,8,4,76.03666666666666666666,4068337392.31333333333333333333,SUCCESSFUL
A,8,7,80.61000000000000000000,4954967246.99333333333333333333,SUCCESSFUL
A,8,8,84.46000000000000000000,5501099546.32333333333333333333,SUCCESSFUL
A,8,14,90.36333333333333333333,7974409556.01666666666666666666,SUCCESSFUL
A,8,28,110.42333333333333333333,14971875639.32333333333333333333,SUCCESSFUL
A,14,1,45.16666666666666666666,7783947592.65666666666666666666,SUCCESSFUL
A,14,2,79.31666666666666666666,4080756837.33000000000000000000,SUCCESSFUL
A,14,4,75.80666666666666666666,4641410269.31000000000000000000,SUCCESSFUL
A,14,7,81.50666666666666666666,5768200452.65333333333333333333,SUCCESSFUL
A,14,8,83.84666666666666666666,6375216956.00000000000000000000,SUCCESSFUL
A,14,14,97.63333333333333333333,10468527888.68333333333333333333,SUCCESSFUL
A,14,28,127.62666666666666666666,21267274658.00333333333333333333,SUCCESSFUL
A,28,1,,,SUCCESSFUL
A,28,2,,,SUCCESSFUL
A,28,4,,,SUCCESSFUL
A,28,7,,,SUCCESSFUL
A,28,8,,,SUCCESSFUL
A,28,14,,,SUCCESSFUL
A,28,28,,,SUCCESSFUL
B,1,1,129.60666666666666666666,129613643815.02333333333333333333,SUCCESSFUL
B,1,2,141.84333333333333333333,71142352546.00666666666666666666,SUCCESSFUL
B,1,4,155.22000000000000000000,39151638433.33666666666666666666,SUCCESSFUL
