Xstreams,Threads,Time(s),Time(nanos),Status
5,64,28.38666666666666666666,5683030994.33333333333333333333,SUCCESSFUL
5,128,35.72666666666666666666,7157820822.00000000000000000000,SUCCESSFUL
5,256,46.21000000000000000000,9243492966.33333333333333333333,SUCCESSFUL
6,1,111.02333333333333333333,18525943306.66666666666666666666,SUCCESSFUL
6,2,56.57333333333333333333,9441561223.66666666666666666666,SUCCESSFUL
6,3,40.15000000000000000000,6708536937.66666666666666666666,SUCCESSFUL
6,4,31.64000000000000000000,5281259985.33333333333333333333,SUCCESSFUL
6,5,27.25333333333333333333,4565005513.33333333333333333333,SUCCESSFUL
6,6,23.43666666666666666666,3923848288.33333333333333333333,SUCCESSFUL
6,7,34.96000000000000000000,5842091009.33333333333333333333,SUCCESSFUL
6,8,31.61000000000000000000,5302509850.33333333333333333333,SUCCESSFUL
6,16,26.65000000000000000000,4448038549.66666666666666666666,SUCCESSFUL
6,32,31.37666666666666666666,5250528349.33333333333333333333,SUCCESSFUL
6,64,32.62000000000000000000,5463330282.66666666666666666666,SUCCESSFUL
6,128,48.97333333333333333333,8167766382.00000000000000000000,SUCCESSFUL
6,256,45.88000000000000000000,7650769667.33333333333333333333,SUCCESSFUL
7,1,129.70666666666666666666,18780489247.66666666666666666666,SUCCESSFUL
7,2,65.77666666666666666666,9495511365.66666666666666666666,SUCCESSFUL
7,3,47.19333333333333333333,6907326060.66666666666666666666,SUCCESSFUL
7,4,37.12000000000000000000,5417468038.66666666666666666666,SUCCESSFUL
7,5,32.55333333333333333333,4760059267.66666666666666666666,SUCCESSFUL
7,6,28.41333333333333333333,4159870985.00000000000000000000,SUCCESSFUL
7,7,25.34666666666666666666,3730963294.00000000000000000000,SUCCESSFUL
7,8,37.80666666666666666666,5540063740.66666666666666666666,SUCCESSFUL
7,16,33.46666666666666666666,5036010737.00000000000000000000,SUCCESSFUL
7,32,33.54000000000000000000,4990605803.66666666666666666666,SUCCESSFUL
7,64,42.11000000000000000000,6270551874.66666666666666666666,SUCCESSFUL
7,128,58.75333333333333333333,8536956542.00000000000000000000,SUCCESSFUL
7,256,57.36666666666666666666,8361991251.00000000000000000000,SUCCESSFUL
8,1,148.49666666666666666666,19531128202.00000000000000000000,SUCCESSFUL
8,2,82.55333333333333333333,11196447562.00000000000000000000,SUCCESSFUL
8,3,62.84666666666666666666,8683051181.00000000000000000000,SUCCESSFUL
8,4,52.98000000000000000000,7489857667.66666666666666666666,SUCCESSFUL
8,5,50.68333333333333333333,7100325408.66666666666666666666,SUCCESSFUL
8,6,47.85333333333333333333,6745527860.33333333333333333333,SUCCESSFUL
8,7,47.30000000000000000000,6905898471.33333333333333333333,SUCCESSFUL
8,8,24.91000000000000000000,3149866101.00000000000000000000,SUCCESSFUL
8,16,48.74666666666666666666,6976340009.66666666666666666666,SUCCESSFUL
8,32,50.14333333333333333333,7108026016.00000000000000000000,SUCCESSFUL
8,64,56.30333333333333333333,7907033423.66666666666666666666,SUCCESSFUL
8,128,74.96000000000000000000,10217866211.00000000000000000000,SUCCESSFUL
8,256,75.01666666666666666666,10247108637.66666666666666666666,SUCCESSFUL
16,1,294.70333333333333333333,37866382853.00000000000000000000,SUCCESSFUL
16,2,164.59666666666666666666,21527127875.33333333333333333333,SUCCESSFUL
16,3,124.57333333333333333333,16456978952.66666666666666666666,SUCCESSFUL
16,4,101.38666666666666666666,13546093715.00000000000000000000,SUCCESSFUL
16,5,98.20333333333333333333,13105298364.33333333333333333333,SUCCESSFUL
16,6,90.25000000000000000000,12164309542.00000000000000000000,SUCCESSFUL
16,7,84.92333333333333333333,11491734281.00000000000000000000,SUCCESSFUL
16,8,79.57000000000000000000,10700542919.00000000000000000000,SUCCESSFUL
16,16,74.90666666666666666666,10119351568.66666666666666666666,SUCCESSFUL
16,32,88.82000000000000000000,11935756691.00000000000000000000,SUCCESSFUL
16,64,117.22666666666666666666,15518572348.00000000000000000000,SUCCESSFUL
16,128,167.79000000000000000000,21883301980.33333333333333333333,SUCCESSFUL
16,256,166.79666666666666666666,21816312345.00000000000000000000,SUCCESSFUL
